date,time,reporter_role,assigned_department,urgency,incident_description
2025-01-01,02:15 PM,Hospital Administrator,Finance and Account,Low,Consultant session revenue-share needs recalibration post VAT change for January clinics. Request Finance to update settlement sheets this week.
2025-01-01,07:10 AM,Staff Nurse - Paediatric Ward,Dietary and Food Services,High,"Diet slip notes G6PD + seafood allergy for bed 12, but lunch tray arrived with dried sprats curry. Please recall and replace; update allergy flag on the diet ticket."
2025-01-01,07:10 AM,OPD Nursing Officer,Security,Medium,"Large crowd surged at OPD entrance when tokens opened; please deploy security to manage queue, verify NICs, and keep doors clear."
2025-01-01,07:35 AM,ICU Charge Nurse,Facility Management,High,ICU AHU-2 not holding 22C; temp fluctuating 24–26C and alarms frequent. Please check chilled water valve/actuator before rounds.
2025-01-01,07:40 AM,"Nursing Officer-in-Charge, Surgical Ward",Human Resources,High,Public holiday OT for our ward isn’t appearing in HRMIS; 6 nurses may miss payment. Please open the 1 Jan roster and accept manual OT entries today.
2025-01-01,08:05 AM,Theatre Matron,Transport,High,Porter team late to move prepped patient from Surgical Ward 3A to OT; anaesthesia set-up waiting. Request immediate trolley transfer and lift booking.
2025-01-01,08:10 AM,OPD Registration Officer,IT,High,OPD token display is out of sync with HIS; looks like the display controller time is drifting and calls wrong ticket order.
2025-01-01,08:10 AM,OPD Nurse,Reception,Medium,New Year crowd formed a mixed queue at the main entrance; patients and visitors lined up together and blocked wheelchair access. Request reception to open a second OPD registration counter and announce token numbers over PA.
2025-01-01,08:10 AM,Staff Nurse - Paediatric Ward,Supply Department,High,10 ml syringes are out in Paeds since morning rounds; IV meds delayed. Request urgent redistribution and raise immediate PO—weekend usage not reflected on bin card.
2025-01-01,08:25 AM,OPD Nursing Officer,Housekeeping Department,High,"Patient vomited on chair and floor in OPD waiting area; request biohazard clean-up, chair wipe-down, and disinfection around ticket counter."
2025-01-01,08:35 AM,OPD Cashier,Finance and Account,High,HMS still charging 15% VAT for lab panels this morning; new 18% rate effective today. Need Finance to correct bills already printed and issue adjusted tax invoices.
2025-01-01,09:15 AM,NICU Sister-in-Charge,Biomedical Engineering,Medium,"New neonatal infusion pumps delivered to NICU; require acceptance testing, electrical safety check, and calibration before use."
2025-01-01,10:05 AM,Pharmacy In-Charge,Finance and Account,High,Imported meds showing VAT 18% plus SSCL 2.5% added incorrectly to tax base. Please review pricing template and reprint affected invoices before EOD.
2025-01-01,10:15 AM,Infection Control Nurse,Quality Assurance department,Medium,Spot audit in Paediatric Ward showed hand hygiene compliance at 42%; several sinks lacked paper towels and one ABHR dispenser empty. Request QA-led corrective action and re-education.
2025-01-02,08:25 AM,"Medical Officer, OPD",Human Resources,High,Two new HOs reported but no IDs/biometric access yet; they can’t log into OPD system or drug charting. Kindly expedite onboarding.
2025-01-02,09:10 AM,OT Nursing Officer (Theatre 2),Facility Management,Critical,Theatre 2 negative pressure not maintaining; door closer misaligned and pressure drops when door shuts. Need urgent HVAC/door seal review.
2025-01-02,11:35 AM,OPD Pharmacist,Supply Department,High,Vaccine fridge data logger batteries (CR2032) are dead; cannot record temps. Need immediate supply to avoid cold chain documentation gap.
2025-01-03,02:20 PM,MO - ETU,Supply Department,High,Adrenaline ampoules supplied are short-dated (expiring next month). ETU policy needs >6 months shelf life—request immediate swap with vendor.
2025-01-03,03:12 PM,Radiology Technologist,IT,Critical,PACS cannot retrieve prior CT studies; DICOM C-FIND works but C-MOVE fails from archive before the evening list.
2025-01-03,03:40 PM,Senior Radiographer,Biomedical Engineering,Critical,MRI room RF-door interlock intermittently fails and aborted two scans; request urgent inspection of door switch and shielding continuity.
2025-01-03,06:40 AM,Stores Clerk - Main Kitchen,Dietary and Food Services,Medium,"After the brief morning rain, two red rice sacks near the loading bay feel damp at the base. Request inspection, segregation, and moisture log entry before use."
2025-01-03,07:15 AM,Security Supervisor,Housekeeping Department,High,"Light morning rain soaked foyer mats and left water pooling near main entrance; please mop, replace with dry mats, and place wet-floor signs."
2025-01-03,07:20 AM,Ambulance Dispatcher,Transport,Medium,Light rain made ambulance bay slick; crew needs anti-slip mats and two extra hands to load a non-ambulant OPD patient safely.
2025-01-03,07:40 PM,Paediatric Ward Clerk,Security,Medium,Parent reports phone missing from waiting area; request security to review CCTV near Play Corner and check exit logs.
2025-01-03,08:20 AM,ETU Medical Officer,Biomedical Engineering,High,"Portable suction unit in ETU loses vacuum after 2 minutes; started after morning drizzle, possible moisture ingress in tubing or canister seals."
2025-01-03,08:22 AM,ETU Nurse In-Charge,IT,High,"HIS sessions in ETU drop every few minutes since the light rain; link to the ETU switch is intermittently unreachable, slowing triage."
2025-01-03,08:25 AM,Front Desk Executive,Security,Medium,Light rain brought water into the main foyer; visitors were slipping; need security to cordon area and redirect foot traffic.
2025-01-03,09:05 AM,OPD Nursing Officer,Quality Assurance department,High,"After brief morning rain, wet entrance mats led to a patient slip near OPD triage (no fracture). Signage inadequate and housekeeping response slow. Needs QA review of environmental safety controls."
2025-01-03,09:05 AM,Security Supervisor,Reception,High,"Brief morning rain left the foyer mats soaked; two visitors slipped near the help desk. Need reception to place wet-floor signs, direct people to the side entrance, and call housekeeping immediately."
2025-01-03,09:05 AM,Stores Assistant,Supply Department,Medium,Brief morning rain dampened cartons of sterile gauze at the external dock. Please inspect/segregate and arrange vendor replacement for compromised packs.
2025-01-03,09:10 AM,OPD Cashier,Finance and Account,Medium,"Note counter jammed and EOD variance shows LKR 4,500 short. Kindly reconcile cashbook and authorize write-off/adjustment."
2025-01-03,09:10 AM,"Consultant Physician, Interview Panel Member",Human Resources,Medium,Morning showers delayed two nurse candidates; panel marked them absent. Request HR to reschedule per recruitment policy.
2025-01-03,09:25 AM,Senior Radiographer - CT,Facility Management,Critical,"After the morning drizzle, ceiling leak near CT cable tray; water dripping close to power trunking. Area cordoned off."
2025-01-03,10:12 AM,Call Operator,Reception,Critical,Main switchboard failed to transfer external calls to ETU extensions after morning maintenance; emergency calls looped back to reception. Require immediate manual rerouting and directory fix.
2025-01-03,11:05 AM,Stores Supervisor (Basement),Facility Management,High,Basement stores sump pump not cutting in; 2–3 cm water pooling after rain. Request immediate check of pump and float switches.
2025-01-03,11:20 AM,Laboratory Technologist,Quality Assurance department,High,Two FBC samples from OPD were received with the same CR number due to duplicate ticket issuance. Near-miss averted by technologist; requests QA RCA on patient identification and registration flow.
2025-01-03,11:40 AM,Infection Control Nurse,Housekeeping Department,High,Yellow clinical waste bags from Ward 7 were left in the black-bin bay; need re-segregation and disinfection of the bay surface immediately.
2025-01-03,11:45 AM,MO - ETU,Transport,Critical,Inter-facility transfer for NSTEMI to NHSL; ambulance oxygen gauge fluctuating—please swap to ready unit with full cylinders now.
2025-01-04,02:40 PM,Consultant Surgeon,Reception,Medium,Surgical review patients were directed to the medical clinic queue; the signage at the lobby arrowed to the wrong wing. Please correct wayfinding and announce the change on PA.
2025-01-04,02:50 PM,Senior Lab Technologist,Transport,High,Time-sensitive CSF and blood cultures awaiting pickup from Ward 5B; need porter with biohazard cooler to Microbiology immediately.
2025-01-04,06:35 AM,"Anaesthesia SHO, Main Theatre",Human Resources,Critical,Locum anaesthetist’s SLMC card shows expiry 31 Dec. Please verify renewal and stand down the booking if not current.
2025-01-05,02:10 PM,Ward Sister - Surgical,Housekeeping Department,Medium,Laundry delivered bedsheets with faint iodine stains and still damp; please rewash and supply clean dry sets for evening admissions.
2025-01-05,02:20 PM,Duty Electrician,Facility Management,Medium,"During weekly genny test, ATS failed to transfer back to CEB mains; manual return required. Inspect ATS controller and interlocks."
2025-01-05,02:45 PM,Pharmacy In-Charge,Human Resources,Medium,Night shift allowance for three staff missing from December payroll. Please correct and confirm adjustment.
2025-01-05,06:10 AM,Male Medical Ward Nurse,Biomedical Engineering,Critical,Defibrillator self-test showing energy calibration fail; please calibrate and certify before morning rounds.
2025-01-05,07:50 AM,Theatre Sister-in-Charge,Supply Department,Critical,Oxygen E-type regulators missing fibre washers; risk of leaks with 08:30 OT list. Need urgent issue from Supply.
2025-01-05,08:00 AM,"Nursing Sister, OPD",Human Resources,High,Induction for new attendants was cancelled due to hall double-booking. Need HR to reschedule today and include safety/harassment briefing before duty.
2025-01-05,08:10 AM,Theatre Sister (Main OT),Quality Assurance department,High,Perioperative antibiotic prophylaxis given after incision in 3/7 morning cases. Breach of surgical safety bundle; needs QA audit and corrective action with surgical teams.
2025-01-05,10:05 AM,Medical Officer - OPD,Dietary and Food Services,Medium,Post-OGTT patient was given sweetened tea from the ward trolley. Kindly supply unsweetened tea and review diabetic beverage default for OPD holds.
2025-01-05,10:47 AM,Pharmacy In-Charge,IT,High,Dispensing label printers in OPD pharmacy are offline after a power cycle; PCs reach HIS but printers look on the wrong VLAN.
2025-01-05,11:25 AM,Billing Officer,Reception,Medium,Initial insurance verification at reception missed policy numbers for two scheduled day-cases; HIS shows blank insurer fields. Kindly call the insurers and update profiles before admission.
2025-01-05,11:50 AM,Ward Clerk - Surgical Ward,Finance and Account,Medium,Discharged patient (BHT 23/00145) deposit refund pending despite insurer AIA guarantee on file. Please process balance transfer to guardian today.
2025-01-05,12:15 PM,Hospital Administrator,Security,Medium,Two touts by Main Gate directing OPD patients to private labs; please remove and document with gate book.
2025-01-06,05:55 PM,Medical Officer - Isolation Unit,Housekeeping Department,High,Suspected dengue patient discharged from Isolation Cubicle 3; request terminal cleaning with curtain change per protocol before next admission.
2025-01-06,06:35 AM,Laboratory Manager,IT,Critical,LIS to HIS result posting stalled since 05:50; HL7 messages stuck in the outbound queue and wards aren't seeing morning labs.
2025-01-06,07:55 AM,OPD Supervisor,Human Resources,Medium,Biometric unit was moved during repaint; 06:30–07:30 punches not captured. Request HR to regularize attendance for affected staff.
2025-01-06,08:15 AM,OPD Attendant,Facility Management,Medium,OPD male toilet flush line has very low pressure; multiple pans not clearing. Likely valve/N.R.V. stuck.
2025-01-06,09:30 PM,ICU Charge Nurse,Transport,High,"Bariatric post-op patient requires transfer from OT recovery to ICU; need bariatric trolley, slide sheet, and at least four porters."
2025-01-07,03:20 PM,HR Officer,Finance and Account,High,December overtime for theatre orderlies (32 hours) not pulled into payroll. Need Finance/Payroll to add before pay run lock.
2025-01-07,03:40 PM,CSSD Supervisor,Supply Department,High,"60 cm sterile wrap rolls out of stock; staff double-wrapping with 45 cm, slowing turnover. Please expedite issue/local purchase."
2025-01-07,04:35 PM,OPD Pharmacist,Quality Assurance department,Medium,Found 14 adrenaline vials close to expiry still on primary shelf; FEFO not followed. NMRA compliance risk; requesting QA-led stock rotation audit and staff refresher.
2025-01-07,07:55 AM,ETU Medical Officer,Reception,High,"Ambulance radioed ahead for a collapse case but ETU triage was not alerted by reception, causing a delay on arrival. Please reinforce the red-flag pre-alert protocol with operators."
2025-01-07,08:05 PM,Surgical Ward Sister-in-Charge,Security,High,Relative refused to leave after visiting hours and became loud; require security to de-escalate and clear the bay.
2025-01-07,10:42 PM,Ward Sister - Paediatrics,Facility Management,Medium,Fire alarm shows intermittent fault in Zone 4 (Paeds); repeater beeping through night. Please trace detector/cabling issue.
2025-01-07,11:25 AM,Theatre Matron,Biomedical Engineering,High,"OT 2 diathermy unit footswitch sticking intermittently; risk of unintended coagulation, needs inspection and function test before afternoon list."
2025-01-07,12:20 PM,Cafeteria Supervisor,Dietary and Food Services,Medium,"Vegetarian dhal and fish curry labels were swapped during lunch rush; two staff complained. Need immediate relabel, announce correction, and reinforce color-code SOP."
2025-01-08,01:15 PM,Registrar - Labour Room,Supply Department,Critical,Oxytocin vials arrived warm; logger shows >8°C for ~30 mins during delivery. Request quarantine and vendor replacement under cold chain breach.
2025-01-08,01:26 PM,Telemedicine Coordinator,IT,Medium,Link to the peripheral clinic dropped during the short rain; rooftop wireless backhaul is flapping and consult was aborted.
2025-01-08,02:05 PM,Staff Nurse - Ward 7A,Supply Department,Medium,IV cannula boxes have barcodes that won’t scan; GS1 not recognized. Distribution/stock update blocked—please rectify with supplier.
2025-01-08,02:30 PM,Laboratory Technologist,Biomedical Engineering,High,"UPS in Pathology Lab beeping with high battery temperature alarm after brief rain; need check on fans, batteries, and load to protect analyzers."
2025-01-08,02:35 PM,Housekeeping Supervisor,Reception,Medium,Short afternoon rain brought in wet footprints; the OPD token queue extended across the damp foyer. Reception needs to redirect the queue and announce use of the drying mats.
2025-01-08,02:45 PM,Radiology Receptionist,Finance and Account,High,Short rain coincided with POS network drop; five card payments show bank approval but not posted in HMS. Finance to reconcile POS MID and issue receipts.
2025-01-08,02:50 PM,Clinic Clerk (Medical Clinic),Quality Assurance department,Medium,Patient complaint: token calling skipped numbers and perceived favoritism; waiting time exceeded displayed target by ~90 minutes. Request QA review of queue management and service standards.
